Company Name,Ticker,TrailingPER,ForwardPER,EPSGrowth,ROE,PayoutRatio,MarketCap,Sector,Beta,DebtToEquity
Coca-Cola Company (The),KO,26.501503,25.025663,0.169,0.42054,0.6246,379699953664.0,Consumer Defensive,0.342,115.519
Cognizant,CTSH,12.84764,9.4735365,0.038,0.14924,0.2747,26968094720.0,Technology,0.83,14.479
Colgate-Palmolive,CL,34.437008,21.292498,-0.055,2.67367,0.8228,69728706560.0,Consumer Defensive,0.323,1388.163
Comcast,CMCSA,7.2884617,6.3516006,-0.668,0.114879996,0.42310002,80696000512.0,Communication Services,0.662,100.474
Comfort Systems USA,FIX,40.66412,27.441206,0.919,0.55292,0.064,58118856704.0,Industrials,1.676,11.498
ConocoPhillips,COP,17.414795,13.706977,1.07,0.1418,0.4365,158372315136.0,Energy,0.134,35.639
Consolidated Edison,ED,17.340462,16.245268,0.221,0.08962,0.5715,38991032320.0,Utilities,0.259,110.113
Constellation Brands,STZ,11.341278,9.626907,0.307,0.2369,0.38950002,20320593920.0,Consumer Defensive,0.4,123.205
Constellation Energy,CEG,24.9227,19.140306,-0.468,0.15055001,0.1592,90245636096.0,Utilities,1.117,76.419
Cooper Companies (The),COO,19.0,11.779494,3.571,0.06838,0.0,10513686528.0,Healthcare,0.818,33.634
Copart,CPRT,18.890324,16.537703,-0.146,0.1616,0.0,27107760128.0,Industrials,1.029,0.97
Corning Inc.,GLW,69.18433,34.513756,0.185,0.16813,0.5161,129320239104.0,Technology,1.151,71.448
Corpay,CPAY,24.17994,12.648173,-0.07,0.29215,0.0,26116763648.0,Technology,0.873,275.291
Corteva,CTVA,48.80606,19.547968,-0.099,0.04256,0.4364,53729296384.0,Basic Materials,0.577,19.191
CoStar Group,CSGP,161.6111,16.400467,12.61,0.00894,0.0,11787198464.0,Real Estate,0.747,14.537
Costco,COST,45.10378,39.566135,0.152,0.29152,0.2701,397051002880.0,Consumer Defensive,0.855,24.567
CRH plc,CRH,15.220849,13.262334,0.139,0.15812,0.26860002,57314258944.0,Basic Materials,1.198,77.592
CSX Corporation,CSX,27.38372,20.735106,0.227,0.24357,0.314,87251566592.0,Industrials,1.207,138.068
Cummins,CMI,27.23797,15.425155,0.047,0.21114,0.409,73269166080.0,Industrials,1.226,59.586
CVS Health,CVS,23.440632,10.416923,1.888,0.06205,0.7018,113623719936.0,Healthcare,0.58,95.503
Danaher Corporation,DHR,37.75579,22.78046,0.597,0.07605,0.2567,148899479552.0,Healthcare,0.808,52.97
