"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2026","10,297.93","10,297.93","10,588.54","10,224.45","","-1.88%"
"03/04/2026","10,494.97","10,494.97","10,499.89","10,248.96","","2.40%"
"03/03/2026","10,248.96","10,248.96","10,549.28","9,931.28","","-2.85%"
"03/02/2026","10,549.28","10,549.28","10,877.74","10,549.28","","-3.02%"
"02/27/2026","10,877.74","10,877.74","11,068.96","10,877.11","","-1.56%"
"02/26/2026","11,049.69","11,049.69","11,145.17","10,956.79","","-0.75%"
"02/25/2026","11,133.28","11,133.28","11,144.37","10,991.76","","1.29%"
"02/24/2026","10,991.76","10,991.76","11,010.60","10,904.09","","0.63%"
"02/23/2026","10,923.25","10,923.25","10,935.57","10,810.98","","0.63%"
"02/20/2026","10,855.08","10,855.08","10,865.69","10,745.67","","0.42%"
"02/19/2026","10,809.15","10,809.15","10,869.85","10,697.25","","-0.51%"
"02/18/2026","10,864.48","10,864.48","10,989.29","10,831.29","","-0.26%"
"02/17/2026","10,892.26","10,892.26","10,948.07","10,824.35","","-0.18%"
"02/16/2026","10,911.58","10,911.58","10,945.60","10,838.00","","0.13%"
"02/13/2026","10,897.74","10,897.74","10,974.84","10,800.53","","-0.70%"
"02/12/2026","10,974.84","10,974.84","11,245.03","10,949.54","","-2.17%"
"02/11/2026","11,217.82","11,217.82","11,220.08","11,009.28","","1.89%"
"02/10/2026","11,009.28","11,009.28","11,250.56","11,009.28","","-2.14%"
"02/09/2026","11,250.56","11,250.56","11,298.08","11,204.21","","0.35%"
"02/06/2026","11,210.78","11,210.78","11,350.01","11,159.68","","-0.36%"
"02/05/2026","11,251.62","11,251.62","11,425.88","11,250.14","","-1.53%"
"02/04/2026","11,425.88","11,425.88","11,692.60","11,343.95","","-1.58%"
"02/03/2026","11,609.40","11,609.40","11,671.43","11,482.46","","1.10%"
"02/02/2026","11,482.71","11,482.71","11,482.71","11,291.51","","0.55%"
"01/30/2026","11,420.07","11,420.07","11,523.45","11,341.68","","-0.90%"
"01/29/2026","11,523.45","11,523.45","11,644.13","11,478.51","","-0.90%"
"01/28/2026","11,627.58","11,627.58","11,720.12","11,541.58","","0.01%"
"01/27/2026","11,626.20","11,626.20","11,677.11","11,546.28","","0.69%"
"01/26/2026","11,546.28","11,546.28","11,600.81","11,449.21","","0.40%"
"01/23/2026","11,500.10","11,500.10","11,558.12","11,442.02","","-0.07%"
"01/22/2026","11,507.70","11,507.70","11,507.70","11,254.87","","2.25%"
"01/21/2026","11,254.87","11,254.87","11,334.31","11,159.35","","0.86%"
"01/20/2026","11,159.35","11,159.35","11,159.35","11,023.52","","0.14%"
"01/19/2026","11,143.40","11,143.40","11,161.75","11,101.94","","-0.12%"
"01/16/2026","11,156.73","11,156.73","11,157.65","10,988.01","","0.62%"
"01/15/2026","11,088.48","11,088.48","11,308.00","11,087.98","","-1.17%"
"01/14/2026","11,219.98","11,219.98","11,263.53","11,172.25","","-0.31%"
"01/13/2026","11,254.48","11,254.48","11,254.68","11,066.16","","1.70%"
"01/12/2026","11,066.16","11,066.16","11,071.76","10,929.15","","1.25%"
"01/09/2026","10,929.15","10,929.15","10,970.31","10,909.26","","0.12%"
"01/08/2026","10,916.08","10,916.08","10,951.37","10,851.60","","0.36%"
"01/07/2026","10,876.80","10,876.80","10,945.48","10,803.54","","-0.47%"
"01/06/2026","10,927.79","10,927.79","10,996.03","10,692.78","","2.19%"
"01/05/2026","10,693.57","10,693.57","10,693.66","10,428.63","","2.54%"
"01/02/2026","10,428.63","10,428.63","10,489.03","10,388.93","","-0.50%"
"12/30/2025","10,481.40","10,481.40","10,531.77","10,459.66","","-0.38%"
"12/29/2025","10,521.68","10,521.68","10,521.73","10,429.19","","0.37%"
"12/26/2025","10,483.15","10,483.15","10,483.15","10,386.99","","0.93%"
"12/24/2025","10,386.99","10,386.99","10,415.56","10,350.46","","-0.16%"
"12/23/2025","10,403.73","10,403.73","10,429.96","10,352.98","","0.14%"
"12/22/2025","10,389.39","10,389.39","10,391.16","10,304.26","","0.83%"
"12/19/2025","10,304.26","10,304.26","10,347.14","10,194.26","","1.08%"
"12/18/2025","10,194.26","10,194.26","10,203.91","10,134.52","","0.59%"
"12/17/2025","10,134.52","10,134.52","10,269.49","10,111.75","","-0.53%"
"12/16/2025","10,188.43","10,188.43","10,305.73","10,177.90","","-1.10%"
"12/15/2025","10,302.23","10,302.23","10,494.88","10,296.84","","-0.94%"
"12/12/2025","10,400.01","10,400.01","10,422.88","10,330.21","","0.36%"
"12/11/2025","10,362.86","10,362.86","10,362.86","10,170.37","","1.89%"
"12/10/2025","10,170.37","10,170.37","10,232.20","10,148.08","","-0.09%"
"12/09/2025","10,179.97","10,179.97","10,222.61","10,137.46","","-0.42%"
"12/05/2025","10,222.61","10,222.61","10,277.26","10,128.77","","0.42%"
"12/04/2025","10,179.42","10,179.42","10,218.92","10,131.36","","0.03%"
"12/03/2025","10,176.08","10,176.08","10,200.87","10,143.34","","0.29%"
"12/02/2025","10,146.49","10,146.49","10,169.14","10,112.06","","0.02%"
